0.44418,-1.42,0.17005,0.0058193,1.3281,1.8571,-1.7437
-2.4726,-2.1061,-0.14928,-0.0051349,-1.0321,0.87951,0.91676
NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.48631,0.57312,0.29653,0.047101,0.20782,0.12745,NaN
0.53135,0.12386,0.54871,0.29947,0.197,0.38133,NaN
0.57015,-0.51433,0.39369,0.048909,0.05162,0.10133,NaN
0.31645,-0.31652,0.51741,0.45751,0.06926,0.47413,NaN
-0.17561,0.55269,0.35342,0.05709,0.28548,0.46722,NaN
0.29531,0.32144,0.51546,0.34734,0.028292,0.17592,NaN
-0.1015,-0.59609,0.30349,0.36143,0.30713,0.031651,NaN
0.23539,-0.11738,0.54118,0.096463,0.15701,0.36107,NaN
0.52785,-0.14294,0.37883,0.30827,0.10517,0.072016,NaN
0.14585,0.49976,0.37845,0.054472,0.031713,0.35264,NaN
