-0.66951,-1.6584,1.3305,-0.58355,-1.2666,-0.052781,-0.26227
-0.85733,-0.19493,-0.58856,-2.3921,-1.4087,1.6414,0.63045
NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.21772,-0.59558,0.46154,0.051869,0.18673,0.11629,NaN
0.0013729,0.45495,0.49736,0.28896,0.31783,0.38138,NaN
0.47728,0.38851,0.37948,0.36297,0.012227,0.0104,NaN
0.40605,0.25641,0.25572,0.35332,0.049826,0.1699,NaN
0.54153,-0.14521,0.50436,0.062344,0.082329,0.25622,NaN
0.51854,-0.49074,0.30438,0.091722,0.25562,0.1538,NaN
0.2695,-0.12989,0.43822,0.029182,0.16687,0.046616,NaN
0.48582,0.025949,0.27179,0.38648,0.080274,0.07446,NaN
-0.020781,-0.57023,0.3553,0.011226,0.12179,0.17051,NaN
0.27585,-0.24559,0.31952,0.18767,0.26248,0.024493,NaN
