0.041504,-0.91165,0.78714,2.3787,-1.219,-0.1314,-1.4759
1.2336,1.1476,-0.83532,-2.581,-0.99913,-0.029004,0.19
NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2744,0.42424,0.47911,0.42098,0.44959,0.059276,NaN
0.60376,-0.44496,0.45842,0.21908,0.15826,0.37675,NaN
0.42714,-0.10663,0.3551,0.41281,0.10827,0.32041,NaN
0.021866,0.49995,0.33798,0.33662,0.34357,0.072242,NaN
0.39287,0.45007,0.29608,0.1937,0.11693,0.084858,NaN
0.57108,0.28354,0.40093,0.014588,0.063676,0.34482,NaN
0.55652,0.053253,0.31719,0.024596,0.043859,0.3501,NaN
-0.15109,-0.44063,0.27016,0.043539,0.056225,0.36924,NaN
-0.17576,0.60207,0.53809,0.24121,0.13618,0.085453,NaN
0.27044,-0.51447,0.28615,0.01184,0.37464,0.083202,NaN
